,Source,Sample No.,Experiment type,Experiment kinematics,Confining pressure (MPa),Comment on published mechanical data,Comment on extra unpublished data ,Use strain-rate minimum or peak stress data?,Use tertiary creep or flow stress data?,Sample initial geometry,Sample initial diameter for compression (mm),Sample initial length for compression (mm),Sample length for shear (mm),sample width for shear (mm),sample height for shear (mm),T,T upper bound,T lower bound,Comment on T error,Grain size unit: diameter (D) or area (A),Initial median grain size D: (µm); A (µm^2),Initial grain size lower bound D: (µm); A (µm^2),Initial grain size upper bound D: (µm); A (µm^2),Method for grain size measurement,Grain size error comment,Technique used to collect microstructural data,Resolution,Strain at minimum rate/ peak stress as published,"Published strain type: Octahedral shear (O), Axial (A), Shear (S)?",True (T) or engineering (E) strain?,Stress (MPa) at minimum rate/ peak stress as published,"Published stress type: Octahedral shear (O), Axial (A), Shear (S)?",Strain and stress Error Comments,"Published strain rate type: Octahedral shear (O), Axial (A), Shear (S)?","If Axial, True (T) or engineering (E) strain rate?",Strain rate (/s) at minimum rate/ peak stress as published,Strain rate lower bound,Strain rate upper bound,Comment on rate error,Microstructural data at minimum rate/ peak stress,Grain size scale: diameter (D)? Area (A),Mean grain size  D: (µm); A (µm2) at minimum rate/ peak stress,Median grain size  D: (µm); A (µm2) at minimum rate/ peak stress,Grain size lower bound D: (µm); A (µm2) at minimum rate/ peak stress,Comment on measurement error of grain size,Bulk reduced Schmid factor at minimum rate/ peak stress,Comment on bulk reduced Schmid factor ,Comment on sample geometry,Strain at tertiary strain rate/ flow stress as published,"If Axial, True (T) or engineering (E) strain?",Stress (MPa) at tertiary strain rate/ flow stress as published,Stress lower bound,Stress upper bound,Comment on strain and stress error,True (T) or engineering (E) strain rate?,Strain rate (/s) at tertiary strain rate/ flow stress as published,Comment on strain rate error,Microstructural data at tertiary strain rate/ flow stress,Mean grain size  D: (µm); A (µm2) at tertiary strain rate/ flow stress,Median grain size  D: (µm); A (µm2) at tertiary strain rate/ flow stress,Grain size lower bound D: (µm); A (µm2) at tertiary strain rate/ flow stress,Bulk reduced Schmid factor at tertiary strain rate/ flow stress,Bulk reduced Schmid factor comment
29,Glen (1955),B,Constant load,Uniaxial compression,0,"Creep curves of strain as a function of time (Figs. 3-6). Temperature, sampe name, secondary minimum strain rate, and remarks summarized in a table 2.",N/A,YES,NO,Cylindrical,25.4 or 50.8,50.8 or 101.6,N/A,N/A,N/A,-1.3,-0.8,-1.8,Samples are immersed in a paraffin bath and placed in a cold chamber. The minimum variation of T is 0.5K (page 520).,D,1500,1000,2000,N/A,N/A,N/A,N/A,N/A,N/A,E,0.41,N/A,No correction for surface area expansion. But its effect should be low at seconday minimum.,N/A,E,7.23E-08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30,Glen (1955),A,Constant load,Uniaxial compression,0,"Creep curves of strain as a function of time (Figs. 3-6). Temperature, sampe name, secondary minimum strain rate, and remarks summarized in a table 2.",N/A,YES,NO,Cylindrical,25.4 or 50.8,50.8 or 101.6,N/A,N/A,N/A,-2,-1.5,-2.5,Samples are immersed in a paraffin bath and placed in a cold chamber. The minimum variation of T is 0.5K (page 520).,D,1500,1000,2000,N/A,N/A,N/A,N/A,N/A,N/A,E,0.63,N/A,No correction for surface area expansion. But its effect should be low at seconday minimum.,N/A,E,2.98E-07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31,Glen (1955),E,Constant load,Uniaxial compression,0,"Creep curves of strain as a function of time (Figs. 3-6). Temperature, sampe name, secondary minimum strain rate, and remarks summarized in a table 2.",N/A,YES,NO,Cylindrical,25.4 or 50.8,50.8 or 101.6,N/A,N/A,N/A,-1.2,-0.7,-1.7,Samples are immersed in a paraffin bath and placed in a cold chamber. The minimum variation of T is 0.5K (page 520).,D,1500,1000,2000,N/A,N/A,N/A,N/A,N/A,N/A,E,0.64,N/A,No correction for surface area expansion. But its effect should be low at seconday minimum.,N/A,E,2.27E-07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
32,Glen (1955),D,Constant load,Uniaxial compression,0,"Creep curves of strain as a function of time (Figs. 3-6). Temperature, sampe name, secondary minimum strain rate, and remarks summarized in a table 2.",N/A,YES,NO,Cylindrical,25.4 or 50.8,50.8 or 101.6,N/A,N/A,N/A,-1.4,-0.9,-1.9,Samples are immersed in a paraffin bath and placed in a cold chamber. The minimum variation of T is 0.5K (page 520).,D,1500,1000,2000,N/A,N/A,N/A,N/A,N/A,N/A,E,0.93,N/A,No correction for surface area expansion. But its effect should be low at seconday minimum.,N/A,E,6.88E-07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33,Glen (1955),1,Constant load,Uniaxial compression,0,"Creep curves of strain as a function of time (Figs. 3-6). Temperature, sampe name, secondary minimum strain rate, and remarks summarized in a table 2.",N/A,YES,NO,Cylindrical,25.4 or 50.8,50.8 or 101.6,N/A,N/A,N/A,-6.8,-6.3,-7.3,Samples are immersed in a paraffin bath and placed in a cold chamber. The minimum variation of T is 0.5K (page 520).,D,1500,1000,2000,N/A,N/A,N/A,N/A,N/A,N/A,E,0.22,N/A,No correction for surface area expansion. But its effect should be low at seconday minimum.,N/A,E,3.27E-09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34,Glen (1955),2,Constant load,Uniaxial compression,0,"Creep curves of strain as a function of time (Figs. 3-6). Temperature, sampe name, secondary minimum strain rate, and remarks summarized in a table 2.",N/A,YES,NO,Cylindrical,25.4 or 50.8,50.8 or 101.6,N/A,N/A,N/A,-6.7,-6.2,-7.2,Samples are immersed in a paraffin bath and placed in a cold chamber. The minimum variation of T is 0.5K (page 520).,D,1500,1000,2000,N/A,N/A,N/A,N/A,N/A,N/A,E,0.6,N/A,No correction for surface area expansion. But its effect should be low at seconday minimum.,N/A,E,8.21E-08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
35,Glen (1955),3,Constant load,Uniaxial compression,0,"Creep curves of strain as a function of time (Figs. 3-6). Temperature, sampe name, secondary minimum strain rate, and remarks summarized in a table 2.",N/A,YES,NO,Cylindrical,25.4 or 50.8,50.8 or 101.6,N/A,N/A,N/A,-12.7,-12.2,-13.2,Samples are immersed in a paraffin bath and placed in a cold chamber. The minimum variation of T is 0.5K (page 520).,D,1500,1000,2000,N/A,N/A,N/A,N/A,N/A,N/A,E,0.59,N/A,No correction for surface area expansion. But its effect should be low at seconday minimum.,N/A,E,1.55E-08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
36,Duval & Gac (1980),A1,Constant stress,Uniaxial compression,0,Minimum strain rate vs. grain size (Fig. 4). Summary data in table (Table 1).,N/A,MAYBE,NO,Cylindrical,80,119,N/A,N/A,N/A,-4.6,N/A,N/A,Temperature controlled by a cold room.,D,1800,1700,1900,N/A,N/A,Rigsby stage,N/A,N/A,N/A,E?,0.5,N/A,Secondary creep possibly not reached at the end of experiments (max strain 0.5-1%) (page 153).,N/A,E?,1.90E-08,N/A,N/A,Secondary creep possibly not reached (page 153).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37,Duval & Gac (1980),A2,Constant stress,Uniaxial compression,0,Minimum strain rate vs. grain size (Fig. 4). Summary data in table (Table 1).,N/A,MAYBE,NO,Cylindrical,80,120,N/A,N/A,N/A,-7,N/A,N/A,Temperature controlled by a cold room.,D,5060,4060,6060,N/A,N/A,Rigsby stage,N/A,N/A,N/A,E?,0.5,N/A,Secondary creep possibly not reached at the end of experiments (max strain 0.5-1%) (page 153).,N/A,E?,9.00E-09,N/A,N/A,Secondary creep possibly not reached (page 153).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
38,Duval & Gac (1980),A3,Constant stress,Uniaxial compression,0,Minimum strain rate vs. grain size (Fig. 4). Summary data in table (Table 1).,N/A,MAYBE,NO,Cylindrical,80,120,N/A,N/A,N/A,-7.2,N/A,N/A,Temperature controlled by a cold room.,D,1070,970,1170,N/A,N/A,Rigsby stage,N/A,N/A,N/A,E?,0.48,N/A,Secondary creep possibly not reached at the end of experiments (max strain 0.5-1%) (page 153).,N/A,E?,1.00E-08,N/A,N/A,Secondary creep possibly not reached (page 153).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
39,Duval & Gac (1980),A4,Constant stress,Uniaxial compression,0,Minimum strain rate vs. grain size (Fig. 4). Summary data in table (Table 1).,N/A,MAYBE,NO,Cylindrical,80,117,N/A,N/A,N/A,-7.2,N/A,N/A,Temperature controlled by a cold room.,D,1100,1000,1200,N/A,N/A,Rigsby stage,N/A,N/A,N/A,E?,0.5,N/A,Secondary creep possibly not reached at the end of experiments (max strain 0.5-1%) (page 153).,N/A,E?,1.20E-08,N/A,N/A,Secondary creep possibly not reached (page 153).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
40,Duval & Gac (1980),A5,Constant stress,Uniaxial compression,0,Minimum strain rate vs. grain size (Fig. 4). Summary data in table (Table 1).,N/A,MAYBE,NO,Cylindrical,80,120,N/A,N/A,N/A,-7.2,N/A,N/A,Temperature controlled by a cold room.,D,1400,1300,1500,N/A,N/A,Rigsby stage,N/A,N/A,N/A,E?,0.48,N/A,Secondary creep possibly not reached at the end of experiments (max strain 0.5-1%) (page 153).,N/A,E?,8.00E-09,N/A,N/A,Secondary creep possibly not reached (page 153).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
41,Duval & Gac (1980),A6,Constant stress,Uniaxial compression,0,Minimum strain rate vs. grain size (Fig. 4). Summary data in table (Table 1).,N/A,MAYBE,NO,Cylindrical,80,119,N/A,N/A,N/A,-7.2,N/A,N/A,Temperature controlled by a cold room.,D,7000,6000,8000,N/A,N/A,Rigsby stage,N/A,N/A,N/A,E?,0.49,N/A,Secondary creep possibly not reached at the end of experiments (max strain 0.5-1%) (page 153).,N/A,E?,4.00E-09,N/A,N/A,Secondary creep possibly not reached (page 153).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
42,Duval & Gac (1980),A7,Constant stress,Uniaxial compression,0,Minimum strain rate vs. grain size (Fig. 4). Summary data in table (Table 1).,N/A,MAYBE,NO,Cylindrical,80,118,N/A,N/A,N/A,-7.2,N/A,N/A,Temperature controlled by a cold room.,D,1880,1780,1980,N/A,N/A,Rigsby stage,N/A,N/A,N/A,E?,0.49,N/A,Secondary creep possibly not reached at the end of experiments (max strain 0.5-1%) (page 153).,N/A,E?,7.00E-09,N/A,N/A,Secondary creep possibly not reached (page 153).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
43,Jones & Chew (1981),N/A,Constant stress,Uniaxial compression,0,High strain rate (5E-4/s) but without confining pressure. Sample cracking is very possible during deformation. These data are in duplicate with Jones & Chew (1983). We use the latter one for modelling as it includes more data points.,N/A,NO,NO,Cylindrical,20,60,N/A,N/A,N/A,-10.5,N/A,N/A,N/A,D,900.41,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,E?,7.8,N/A,Stress digitised from Fig. 1.,N/A,E?,5.50E-04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
44,Jones & Chew (1981),N/A,Constant stress,Uniaxial compression,0,High strain rate (5E-4/s) but without confining pressure. Sample cracking is very possible during deformation. These data are in duplicate with Jones & Chew (1983). We use the latter one for modelling as it includes more data points.,N/A,NO,NO,Cylindrical,20,60,N/A,N/A,N/A,-10.5,N/A,N/A,N/A,D,900.63,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,E?,7.09,N/A,Stress digitised from Fig. 1.,N/A,E?,5.50E-04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
45,Jones & Chew (1981),N/A,Constant stress,Uniaxial compression,0,High strain rate (5E-4/s) but without confining pressure. Sample cracking is very possible during deformation. These data are in duplicate with Jones & Chew (1983). We use the latter one for modelling as it includes more data points.,N/A,NO,NO,Cylindrical,20,60,N/A,N/A,N/A,-10.5,N/A,N/A,N/A,D,999.14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,E?,7.48,N/A,Stress digitised from Fig. 1.,N/A,E?,5.50E-04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
46,Jones & Chew (1981),N/A,Constant stress,Uniaxial compression,0,High strain rate (5E-4/s) but without confining pressure. Sample cracking is very possible during deformation. These data are in duplicate with Jones & Chew (1983). We use the latter one for modelling as it includes more data points.,N/A,NO,NO,Cylindrical,20,60,N/A,N/A,N/A,-10.5,N/A,N/A,N/A,D,999.17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,E?,7.39,N/A,Stress digitised from Fig. 1.,N/A,E?,5.50E-04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
47,Jones & Chew (1981),N/A,Constant stress,Uniaxial compression,0,High strain rate (5E-4/s) but without confining pressure. Sample cracking is very possible during deformation. These data are in duplicate with Jones & Chew (1983). We use the latter one for modelling as it includes more data points.,N/A,NO,NO,Cylindrical,20,60,N/A,N/A,N/A,-10.5,N/A,N/A,N/A,D,1102.85,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,E?,8.76,N/A,Stress digitised from Fig. 1.,N/A,E?,5.50E-04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
48,Jones & Chew (1981),N/A,Constant stress,Uniaxial compression,0,High strain rate (5E-4/s) but without confining pressure. Sample cracking is very possible during deformation. These data are in duplicate with Jones & Chew (1983). We use the latter one for modelling as it includes more data points.,N/A,NO,NO,Cylindrical,20,60,N/A,N/A,N/A,-10.5,N/A,N/A,N/A,D,1103.19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,E?,7.66,N/A,Stress digitised from Fig. 1.,N/A,E?,5.50E-04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
49,Jones & Chew (1981),N/A,Constant stress,Uniaxial compression,0,High strain rate (5E-4/s) but without confining pressure. Sample cracking is very possible during deformation. These data are in duplicate with Jones & Chew (1983). We use the latter one for modelling as it includes more data points.,N/A,NO,NO,Cylindrical,20,60,N/A,N/A,N/A,-10.5,N/A,N/A,N/A,D,1103.23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,E?,7.56,N/A,Stress digitised from Fig. 1.,N/A,E?,5.50E-04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
50,Jones & Chew (1981),N/A,Constant stress,Uniaxial compression,0,High strain rate (5E-4/s) but without confining pressure. Sample cracking is very possible during deformation. These data are in duplicate with Jones & Chew (1983). We use the latter one for modelling as it includes more data points.,N/A,NO,NO,Cylindrical,20,60,N/A,N/A,N/A,-10.5,N/A,N/A,N/A,D,1103.27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,E?,7.42,N/A,Stress digitised from Fig. 1.,N/A,E?,5.50E-04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51,Jones & Chew (1981),N/A,Constant stress,Uniaxial compression,0,High strain rate (5E-4/s) but without confining pressure. Sample cracking is very possible during deformation. These data are in duplicate with Jones & Chew (1983). We use the latter one for modelling as it includes more data points.,N/A,NO,NO,Cylindrical,20,60,N/A,N/A,N/A,-10.5,N/A,N/A,N/A,D,1198.47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,E?,7.88,N/A,Stress digitised from Fig. 1.,N/A,E?,5.50E-04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
52,Jones & Chew (1981),N/A,Constant stress,Uniaxial compression,0,High strain rate (5E-4/s) but without confining pressure. Sample cracking is very possible during deformation. These data are in duplicate with Jones & Chew (1983). We use the latter one for modelling as it includes more data points.,N/A,NO,NO,Cylindrical,20,60,N/A,N/A,N/A,-10.5,N/A,N/A,N/A,D,1197.42,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,E?,7.74,N/A,Stress digitised from Fig. 1.,N/A,E?,5.50E-04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
53,Jones & Chew (1981),N/A,Constant stress,Uniaxial compression,0,High strain rate (5E-4/s) but without confining pressure. Sample cracking is very possible during deformation. These data are in duplicate with Jones & Chew (1983). We use the latter one for modelling as it includes more data points.,N/A,NO,NO,Cylindrical,20,60,N/A,N/A,N/A,-10.5,N/A,N/A,N/A,D,1197.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,E?,7.48,N/A,Stress digitised from Fig. 1.,N/A,E?,5.50E-04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
54,Jones & Chew (1981),N/A,Constant stress,Uniaxial compression,0,High strain rate (5E-4/s) but without confining pressure. Sample cracking is very possible during deformation. These data are in duplicate with Jones & Chew (1983). We use the latter one for modelling as it includes more data points.,N/A,NO,NO,Cylindrical,20,60,N/A,N/A,N/A,-10.5,N/A,N/A,N/A,D,1197.62,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,E?,7.1,N/A,Stress digitised from Fig. 1.,N/A,E?,5.50E-04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
55,Jones & Chew (1981),N/A,Constant stress,Uniaxial compression,0,High strain rate (5E-4/s) but without confining pressure. Sample cracking is very possible during deformation. These data are in duplicate with Jones & Chew (1983). We use the latter one for modelling as it includes more data points.,N/A,NO,NO,Cylindrical,20,60,N/A,N/A,N/A,-10.5,N/A,N/A,N/A,D,1300.34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,E?,8.02,N/A,Stress digitised from Fig. 1.,N/A,E?,5.50E-04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
56,Jones & Chew (1981),N/A,Constant stress,Uniaxial compression,0,High strain rate (5E-4/s) but without confining pressure. Sample cracking is very possible during deformation. These data are in duplicate with Jones & Chew (1983). We use the latter one for modelling as it includes more data points.,N/A,NO,NO,Cylindrical,20,60,N/A,N/A,N/A,-10.5,N/A,N/A,N/A,D,1300.42,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,E?,7.76,N/A,Stress digitised from Fig. 1.,N/A,E?,5.50E-04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
57,Jones & Chew (1981),N/A,Constant stress,Uniaxial compression,0,High strain rate (5E-4/s) but without confining pressure. Sample cracking is very possible during deformation. These data are in duplicate with Jones & Chew (1983). We use the latter one for modelling as it includes more data points.,N/A,NO,NO,Cylindrical,20,60,N/A,N/A,N/A,-10.5,N/A,N/A,N/A,D,1300.54,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,E?,7.4,N/A,Stress digitised from Fig. 1.,N/A,E?,5.50E-04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
58,Jones & Chew (1981),N/A,Constant stress,Uniaxial compression,0,High strain rate (5E-4/s) but without confining pressure. Sample cracking is very possible during deformation. These data are in duplicate with Jones & Chew (1983). We use the latter one for modelling as it includes more data points.,N/A,NO,NO,Cylindrical,20,60,N/A,N/A,N/A,-10.5,N/A,N/A,N/A,D,1300.65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,E?,7.05,N/A,Stress digitised from Fig. 1.,N/A,E?,5.50E-04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
59,Jones & Chew (1981),N/A,Constant stress,Uniaxial compression,0,High strain rate (5E-4/s) but without confining pressure. Sample cracking is very possible during deformation. These data are in duplicate with Jones & Chew (1983). We use the latter one for modelling as it includes more data points.,N/A,NO,NO,Cylindrical,20,60,N/A,N/A,N/A,-10.5,N/A,N/A,N/A,D,1300.67,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,E?,6.97,N/A,Stress digitised from Fig. 1.,N/A,E?,5.50E-04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
60,Jones & Chew (1981),N/A,Constant stress,Uniaxial compression,0,High strain rate (5E-4/s) but without confining pressure. Sample cracking is very possible during deformation. These data are in duplicate with Jones & Chew (1983). We use the latter one for modelling as it includes more data points.,N/A,NO,NO,Cylindrical,20,60,N/A,N/A,N/A,-10.5,N/A,N/A,N/A,D,1300.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,E?,6.88,N/A,Stress digitised from Fig. 1.,N/A,E?,5.50E-04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
61,Jones & Chew (1981),N/A,Constant stress,Uniaxial compression,0,High strain rate (5E-4/s) but without confining pressure. Sample cracking is very possible during deformation. These data are in duplicate with Jones & Chew (1983). We use the latter one for modelling as it includes more data points.,N/A,NO,NO,Cylindrical,20,60,N/A,N/A,N/A,-10.5,N/A,N/A,N/A,D,1300.81,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,E?,6.54,N/A,Stress digitised from Fig. 1.,N/A,E?,5.50E-04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
62,Jones & Chew (1981),N/A,Constant stress,Uniaxial compression,0,High strain rate (5E-4/s) but without confining pressure. Sample cracking is very possible during deformation. These data are in duplicate with Jones & Chew (1983). We use the latter one for modelling as it includes more data points.,N/A,NO,NO,Cylindrical,20,60,N/A,N/A,N/A,-10.5,N/A,N/A,N/A,D,1402.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,E?,8.53,N/A,Stress digitised from Fig. 1.,N/A,E?,5.50E-04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
63,Jones & Chew (1981),N/A,Constant stress,Uniaxial compression,0,High strain rate (5E-4/s) but without confining pressure. Sample cracking is very possible during deformation. These data are in duplicate with Jones & Chew (1983). We use the latter one for modelling as it includes more data points.,N/A,NO,NO,Cylindrical,20,60,N/A,N/A,N/A,-10.5,N/A,N/A,N/A,D,1403.27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,E?,8.3,N/A,Stress digitised from Fig. 1.,N/A,E?,5.50E-04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
64,Jones & Chew (1981),N/A,Constant stress,Uniaxial compression,0,High strain rate (5E-4/s) but without confining pressure. Sample cracking is very possible during deformation. These data are in duplicate with Jones & Chew (1983). We use the latter one for modelling as it includes more data points.,N/A,NO,NO,Cylindrical,20,60,N/A,N/A,N/A,-10.5,N/A,N/A,N/A,D,1500.98,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,E?,7.74,N/A,Stress digitised from Fig. 1.,N/A,E?,5.50E-04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
